inst#,actual,predicted,error,prediction,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
20,1:?,1:good,,0.99,6.3,0.22,0.34,5,0.032,36,93,0.99012,3.27,0.36,13.5
21,1:?,1:good,,1,6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8
22,1:?,1:good,,0.96,6.3,0.19,0.29,2,0.022,33,96,0.98902,3.04,0.54,12.8
23,1:?,1:good,,1,6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8
24,1:?,2:bad,,0.7,9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11
25,1:?,1:good,,0.96,6.7,0.46,0.27,5.2,0.039,35,96,0.99129,3.16,0.44,12.4
26,1:?,1:good,,0.94,6.3,0.3,0.29,2.1,0.048,33,142,0.98956,3.22,0.46,12.9
27,1:?,1:good,,0.78,6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1
28,1:?,1:good,,0.97,5.9,0.24,0.28,1.3,0.032,36,95,0.98889,3.08,0.64,12.9
29,1:?,1:good,,0.62,7.3,0.145,0.33,1.1,0.042,14,64,0.99012,3.1,0.37,11.8
30,1:?,1:good,,0.85,5.8,0.18,0.37,1.2,0.036,19,74,0.98853,3.09,0.49,12.7
31,1:?,1:good,,0.98,6.6,0.16,0.35,1.8,0.042,26,105,0.98962,3.19,0.75,12.4
32,1:?,2:bad,,0.57,5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4
33,1:?,2:bad,,0.78,7.5,0.29,0.36,15.7,0.05,29,124,0.9968,3.06,0.54,10.4
34,1:?,1:good,,0.93,5.7,0.26,0.3,1.8,0.039,30,105,0.98995,3.48,0.52,12.5
35,1:?,1:good,,0.96,6.8,0.25,0.28,5,0.035,42,126,0.99048,3.12,0.38,12.6
36,1:?,2:bad,,0.72,6.6,0.17,0.28,1.8,0.042,62,178,0.99204,3.15,0.42,10.2
37,1:?,2:bad,,0.64,5.8,0.17,0.36,1.3,0.036,11,70,0.99202,3.43,0.68,10.4
38,1:?,1:good,,0.69,6.4,0.24,0.29,1,0.038,18,122,0.9906,3.3,0.42,11.5
39,1:?,1:good,,0.71,6.5,0.22,0.28,3.7,0.059,29,151,0.99177,3.23,0.41,12.1
40,1:?,1:good,,0.71,6.5,0.26,0.32,6.65,0.059,34,104,0.99254,3.18,0.42,11.1
41,1:?,2:bad,,0.93,6.9,0.36,0.28,13.55,0.048,51,189,0.99782,3,0.6,9.5
42,1:?,1:good,,0.89,5.9,0.2,0.28,12.8,0.038,29,132,0.99426,3.31,0.57,11.8
43,1:?,1:good,,0.88,6,0.22,0.33,12.2,0.033,25,97,0.99356,3.17,0.42,11.3
44,1:?,1:good,,0.62,7.1,0.18,0.49,1.3,0.033,12,72,0.99072,3.05,0.53,11.3
45,1:?,1:good,,0.7,7.6,0.2,0.26,4.8,0.033,26,76,0.99076,2.98,0.49,12.3
46,1:?,1:good,,0.88,7,0.22,0.28,10.6,0.039,32,117,0.99355,3.05,0.55,11.5
47,1:?,1:good,,0.96,6.9,0.28,0.24,2.1,0.034,49,121,0.98882,2.98,0.43,13.2
48,1:?,2:bad,,0.81,5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5
49,1:?,1:good,,0.96,6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5
50,1:?,2:bad,,1,7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2
51,1:?,1:good,,0.99,6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1
52,1:?,1:good,,0.54,6.9,0.19,0.35,6.9,0.045,51,125,0.9933,3.1,0.44,10.7
53,1:?,1:good,,0.99,6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1
54,1:?,1:good,,0.96,6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5
55,1:?,2:bad,,1,7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2
56,1:?,1:good,,0.56,6.6,0.24,0.3,11.3,0.026,11,77,0.99381,3.13,0.55,12.8
57,1:?,1:good,,0.96,6.9,0.28,0.3,8.3,0.026,37,113,0.99139,2.99,0.38,12.3
58,1:?,2:bad,,0.93,6.5,0.25,0.45,7.8,0.048,52,188,0.99576,3.2,0.53,9.1
59,1:?,2:bad,,0.96,6.6,0.26,0.46,7.8,0.047,48,186,0.9958,3.2,0.54,9.1
60,1:?,2:bad,,0.96,6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5
61,1:?,1:good,,0.55,8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2
62,1:?,2:bad,,0.51,8.8,0.27,0.25,5,0.024,52,99,0.9925,2.87,0.49,11.4
63,1:?,2:bad,,0.96,6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5
64,1:?,1:good,,0.59,6.2,0.23,0.35,0.7,0.051,24,111,0.9916,3.37,0.43,11
65,1:?,1:good,,0.51,8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5
66,1:?,1:good,,0.51,8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5
67,1:?,1:good,,1,6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7
68,1:?,1:good,,0.88,6.7,0.64,0.3,1.2,0.03,18,76,0.9892,3.16,0.6,12.9
69,1:?,1:good,,1,6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7
70,1:?,2:bad,,0.97,7.6,0.28,0.49,20.15,0.06,30,145,1.00196,3.01,0.44,8.5
71,1:?,1:good,,0.78,6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7
72,1:?,1:good,,0.88,6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1
73,1:?,1:good,,0.85,7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1
74,1:?,1:good,,0.85,7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1
75,1:?,1:good,,0.84,7.8,0.29,0.29,3.15,0.044,41,117,0.99153,3.24,0.35,11.5
76,1:?,1:good,,0.89,6.2,0.255,0.27,1.3,0.037,30,86,0.98834,3.05,0.59,12.9
77,1:?,2:bad,,0.97,6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4
78,1:?,2:bad,,0.97,6.7,0.3,0.44,18.5,0.057,65,224,0.99956,3.11,0.53,9.1
79,1:?,2:bad,,0.97,6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4
80,1:?,1:good,,0.92,6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12
81,1:?,1:good,,0.61,7.1,0.25,0.28,1.2,0.04,31,111,0.99174,3.18,0.53,11.1
82,1:?,1:good,,0.86,5.9,0.27,0.27,5,0.035,14,97,0.99058,3.1,0.33,11.8
83,1:?,2:bad,,0.97,6.7,0.3,0.44,18.75,0.057,65,224,0.99956,3.11,0.53,9.1
84,1:?,1:good,,0.94,6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1
85,1:?,1:good,,0.99,6.7,0.47,0.29,4.75,0.034,29,134,0.99056,3.29,0.46,13
86,1:?,1:good,,0.94,6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1
87,1:?,1:good,,0.83,6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5
88,1:?,1:good,,0.83,6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5
89,1:?,2:bad,,0.93,8,0.24,0.48,6.8,0.047,13,134,0.99616,3.23,0.7,10
90,1:?,1:good,,0.82,5.8,0.54,0,1.4,0.033,40,107,0.98918,3.26,0.35,12.4
91,1:?,2:bad,,0.86,6,0.39,0.13,1.2,0.042,60,172,0.99114,3.06,0.52,10.6
92,1:?,1:good,,0.87,6.1,0.105,0.31,1.3,0.037,55,145,0.9912,3.41,0.41,11.1
93,1:?,1:good,,0.99,5.8,0.32,0.2,2.6,0.027,17,123,0.98936,3.36,0.78,13.9
94,1:?,1:good,,0.61,6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3
95,1:?,1:good,,0.99,6.2,0.3,0.31,1.6,0.035,40,106,0.98914,3.26,0.39,12.9
96,1:?,2:bad,,0.92,6.9,0.29,0.41,7.8,0.046,52,171,0.99537,3.12,0.51,9.6
97,1:?,2:bad,,0.94,6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8
98,1:?,1:good,,0.9,6.6,0.16,0.36,1.1,0.031,27,93,0.98884,3.23,0.34,13.2
99,1:?,1:good,,0.61,6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3
100,1:?,1:good,,1,6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6
101,1:?,1:good,,0.82,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4
102,1:?,1:good,,0.76,7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8
103,1:?,1:good,,0.99,5.9,0.32,0.28,4.7,0.039,34,94,0.98964,3.22,0.57,13.1
104,1:?,1:good,,1,6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6
105,1:?,2:bad,,0.81,5.8,0.22,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4
106,1:?,1:good,,0.88,5.4,0.45,0.27,6.4,0.033,20,102,0.98944,3.22,0.27,13.4
107,1:?,1:good,,0.87,6.1,0.36,0.26,8.15,0.035,14,88,0.99031,3.06,0.27,13
108,1:?,1:good,,0.82,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4
109,1:?,2:bad,,0.7,7.5,0.21,0.32,4.8,0.056,39,113,0.99393,3.11,0.52,10.2
110,1:?,2:bad,,0.73,6.7,0.28,0.31,7.4,0.041,7,81,0.99254,3.04,0.47,11.4
111,1:?,1:good,,0.76,7.6,0.31,0.24,1.8,0.037,39,150,0.9913,3.05,0.44,11.8
112,1:?,1:good,,0.85,6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13
113,1:?,1:good,,0.85,6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13
114,1:?,1:good,,0.86,6.3,0.22,0.28,2.4,0.042,38,102,0.98998,3.14,0.37,11.6
115,1:?,1:good,,0.82,6,0.24,0.28,3.95,0.038,61,134,0.99146,3.3,0.54,11.3
116,1:?,1:good,,0.96,6.1,0.33,0.3,3,0.036,30,124,0.98922,3.31,0.4,13.1
117,1:?,1:good,,0.85,6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13
118,1:?,2:bad,,0.8,6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1
119,1:?,1:good,,0.95,6.9,0.33,0.31,4.2,0.04,21,93,0.9896,3.18,0.48,13.4
120,1:?,1:good,,0.96,6.5,0.16,0.34,1.4,0.029,29,133,0.99108,3.33,0.64,11.5
121,1:?,1:good,,0.95,6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2
122,1:?,1:good,,0.98,7.1,0.36,0.28,2.4,0.036,35,115,0.98936,3.19,0.44,13.5
123,1:?,2:bad,,0.8,6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1
124,1:?,1:good,,0.88,6.5,0.19,0.28,1.4,0.046,22,90,0.99038,3.18,0.51,11.7
125,1:?,1:good,,0.97,6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3
126,1:?,1:good,,0.91,7.2,0.33,0.34,2,0.044,61,171,0.98947,3.25,0.53,13.3
127,1:?,1:good,,0.93,6.6,0.29,0.29,1.8,0.036,38,102,0.98819,3.08,0.42,13.7
128,1:?,1:good,,0.53,7.5,0.2,0.41,1.2,0.05,26,131,0.99133,3.19,0.52,11.1
129,1:?,1:good,,0.96,6.9,0.33,0.62,7.5,0.038,46,132,0.99143,3.23,0.43,13.4
130,1:?,2:bad,,0.93,6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1
131,1:?,1:good,,0.71,5.9,0.23,0.24,3.8,0.038,61,152,0.99139,3.31,0.5,11.3
132,1:?,2:bad,,1,6.6,0.32,0.41,7.2,0.048,55,178,0.99537,3.2,0.46,9.4
133,1:?,2:bad,,0.93,6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1
134,1:?,2:bad,,0.59,6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1
135,1:?,1:good,,0.99,7.1,0.35,0.27,3.1,0.034,28,134,0.9897,3.26,0.38,13.1
136,1:?,2:bad,,0.99,7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7
137,1:?,2:bad,,1,6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2
138,1:?,2:bad,,0.99,7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7
139,1:?,2:bad,,1,6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2
140,1:?,2:bad,,0.88,6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1
141,1:?,1:good,,0.93,6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2
142,1:?,1:good,,0.78,4.8,0.21,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2
143,1:?,2:bad,,0.85,7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8
144,1:?,2:bad,,1,7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9
145,1:?,2:bad,,1,7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9
146,1:?,1:good,,0.76,7.8,0.15,0.34,1.1,0.035,31,93,0.99096,3.07,0.72,11.3
147,1:?,2:bad,,0.82,5.9,0.655,0,5.6,0.033,8,31,0.9936,3.32,0.51,10.5
148,1:?,1:good,,0.72,6.8,0.18,0.28,1.1,0.027,32,112,0.99089,3.15,0.45,11
149,1:?,2:bad,,0.71,7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6
150,1:?,1:good,,0.88,7.3,0.23,0.27,2.6,0.035,39,120,0.99138,3.04,0.59,11.3
151,1:?,2:bad,,0.85,6.7,0.22,0.22,1.2,0.038,5,124,0.99098,3.1,0.37,11.2
152,1:?,1:good,,0.56,7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5
153,1:?,1:good,,0.6,7.5,0.3,0.21,6.55,0.026,33,143,0.99244,2.92,0.35,11.1
154,1:?,1:good,,0.86,7.2,0.26,0.24,7,0.023,19,130,0.99176,3.14,0.49,12.8
155,1:?,1:good,,0.56,7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5
156,1:?,1:good,,0.72,7,0.24,0.35,1,0.032,42,104,0.98988,3.16,0.37,11.7
157,1:?,1:good,,0.55,5.8,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7
158,1:?,1:good,,0.94,6.6,0.19,0.35,1.5,0.037,37,107,0.99006,3.18,0.68,12
159,1:?,2:bad,,0.62,6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8
160,1:?,1:good,,0.54,5.6,0.28,0.27,3.9,0.043,52,158,0.99202,3.35,0.44,10.7
161,1:?,1:good,,0.54,5.6,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7
162,1:?,1:good,,0.56,6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7
163,1:?,1:good,,0.89,7.2,0.16,0.29,1,0.031,40,123,0.98958,3.12,0.4,12.1
164,1:?,1:good,,0.82,6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3,0.52,11.9
165,1:?,1:good,,0.93,5.8,0.2,0.24,1.4,0.033,65,169,0.99043,3.59,0.56,12.3
166,1:?,1:good,,0.61,6.6,0.295,0.24,1.6,0.039,29,140,0.99304,3.35,0.61,10.4
167,1:?,1:good,,0.96,7,0.32,0.27,7.1,0.027,37,122,0.99165,3.15,0.6,12.6
168,1:?,2:bad,,0.98,6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4
169,1:?,2:bad,,1,6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2
170,1:?,2:bad,,0.98,6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4
171,1:?,2:bad,,1,6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2
172,1:?,2:bad,,0.99,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3
173,1:?,2:bad,,0.51,7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4
174,1:?,2:bad,,0.82,7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10
175,1:?,2:bad,,0.52,6.3,0.2,0.26,4.7,0.04,108,168,0.99278,3.07,0.75,10.7
176,1:?,2:bad,,0.82,7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10
177,1:?,1:good,,0.88,6.6,0.36,0.28,6.1,0.029,12,93,0.99054,3.19,0.27,12.8
178,1:?,2:bad,,0.99,7.7,0.32,0.61,11.8,0.041,66,188,0.99794,3,0.54,9.3
179,1:?,2:bad,,0.51,7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4
180,1:?,2:bad,,1,6.4,0.37,0.2,5.6,0.117,61,183,0.99459,3.24,0.43,9.5
181,1:?,1:good,,0.64,7.6,0.31,0.27,8.8,0.021,57,156,0.99442,3.08,0.38,11
182,1:?,1:good,,0.79,6.5,0.26,0.39,1.4,0.02,12,66,0.99089,3.25,0.75,11.3
183,1:?,2:bad,,0.52,8.7,0.3,0.34,4.8,0.018,23,127,0.99474,3.12,0.49,11.2
184,1:?,1:good,,0.99,6.4,0.29,0.32,2.4,0.014,34,89,0.99008,3.24,0.66,12.5
185,1:?,1:good,,0.69,6.4,0.24,0.23,2,0.046,30,133,0.9908,3.12,0.54,11.4
186,1:?,2:bad,,0.66,7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2
187,1:?,1:good,,0.91,6.4,0.29,0.24,3.2,0.037,31,95,0.98942,2.9,0.66,12.6
188,1:?,1:good,,0.69,7.3,0.31,0.25,6.65,0.032,30,138,0.99244,2.9,0.37,11.1
189,1:?,2:bad,,0.77,6.9,0.19,0.6,4,0.037,6,122,0.99255,2.92,0.59,10.4
190,1:?,1:good,,0.83,6.8,0.52,0.26,5.7,0.038,27,130,0.99,3.11,0.27,13
191,1:?,1:good,,0.87,7.1,0.28,0.28,8.5,0.03,25,191,0.99338,3.16,0.46,12.2
192,1:?,2:bad,,0.59,5.7,0.15,0.47,11.4,0.035,49,128,0.99456,3.03,0.34,10.5
193,1:?,1:good,,0.68,5.8,0.275,0.3,5.4,0.043,41,149,0.9926,3.33,0.42,10.8
194,1:?,1:good,,0.9,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2
195,1:?,1:good,,0.99,5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13
196,1:?,2:bad,,0.64,6.1,0.6,0.12,1.8,0.05,11,76,0.99268,3.42,0.48,10.4
197,1:?,1:good,,0.96,5,0.29,0.54,5.7,0.035,54,155,0.98976,3.27,0.34,12.9
198,1:?,1:good,,0.9,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2
199,1:?,1:good,,0.54,6.8,0.21,0.26,11.7,0.038,61,152,0.99523,3.02,0.56,10.5
200,1:?,1:good,,0.99,5.8,0.32,0.28,4.3,0.032,46,115,0.98946,3.16,0.57,13
201,1:?,2:bad,,0.68,6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2
202,1:?,1:good,,0.99,5.9,0.37,0.32,1.6,0.029,41,102,0.98916,3.41,0.55,12.7
203,1:?,1:good,,0.97,6.8,0.3,0.29,6.2,0.025,29,95,0.99071,3.03,0.32,12.9
204,1:?,1:good,,0.66,7.3,0.41,0.29,1.8,0.032,26,74,0.98889,2.96,0.35,13
205,1:?,1:good,,0.9,5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6
206,1:?,2:bad,,0.99,6.6,0.34,0.2,1,0.053,26,112,0.99336,3.32,0.55,9.1
207,1:?,1:good,,0.9,5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6
208,1:?,2:bad,,0.89,7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7
209,1:?,2:bad,,0.58,7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5
210,1:?,1:good,,0.95,7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5
211,1:?,1:good,,0.9,6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3
212,1:?,1:good,,0.98,6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6
213,1:?,2:bad,,0.99,7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8
214,1:?,1:good,,0.52,6,0.16,0.27,12,0.03,39,98,0.99402,3.15,0.34,10.8
215,1:?,1:good,,0.95,7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5
216,1:?,1:good,,0.87,5.6,0.21,0.24,4.4,0.027,37,150,0.991,3.3,0.31,11.5
217,1:?,2:bad,,0.58,7.1,0.2,0.27,9.6,0.037,19,105,0.99444,3.04,0.37,10.5
218,1:?,1:good,,0.98,6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6
219,1:?,2:bad,,0.89,7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7
220,1:?,1:good,,0.9,6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3
221,1:?,2:bad,,0.99,7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8
222,1:?,2:bad,,0.92,7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1
223,1:?,2:bad,,0.93,6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2
224,1:?,2:bad,,1,7.7,0.35,0.46,11.8,0.088,61,183,0.99786,2.86,0.47,9
225,1:?,2:bad,,0.92,6.7,0.31,0.09,1.4,0.039,53,141,0.99206,3.12,0.44,10.1
226,1:?,2:bad,,0.6,4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6
227,1:?,2:bad,,0.87,6.3,0.2,0.18,10.6,0.045,57,159,0.99666,3.09,0.54,9.2
228,1:?,2:bad,,0.99,6.6,0.28,0.23,10.4,0.049,45,190,0.99754,3.12,0.51,8.8
229,1:?,2:bad,,0.73,8.5,0.18,0.3,1.1,0.028,34,95,0.99272,2.83,0.36,10
230,1:?,2:bad,,0.52,6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2
231,1:?,2:bad,,0.93,6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2
232,1:?,2:bad,,0.96,6.6,0.3,0.45,8,0.038,54,200,0.9956,3.18,0.48,9.5
233,1:?,1:good,,0.94,6.3,0.34,0.27,2.5,0.024,40,152,0.99095,3.35,0.6,11.9
234,1:?,2:bad,,0.98,7.7,0.3,0.23,2,0.068,28,138,0.99382,3.11,0.62,9.8
235,1:?,2:bad,,0.99,7.7,0.31,0.23,2,0.069,29,134,0.99382,3.11,0.62,9.8
236,1:?,1:good,,0.78,5.7,0.265,0.28,6.9,0.036,46,150,0.99299,3.36,0.44,10.8
237,1:?,1:good,,0.9,4.8,0.17,0.28,2.9,0.03,22,111,0.9902,3.38,0.34,11.3
238,1:?,1:good,,0.78,5.7,0.265,0.28,6.9,0.036,46,150,0.99299,3.36,0.44,10.8
239,1:?,1:good,,0.72,6.2,0.2,0.33,5.4,0.028,21,75,0.99012,3.36,0.41,13.5
240,1:?,2:bad,,0.92,7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3
241,1:?,2:bad,,0.92,7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3
242,1:?,2:bad,,0.67,6,0.21,0.29,13.1,0.042,28,125,0.99936,3.39,0.45,8.6
243,1:?,1:good,,0.9,6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7
244,1:?,2:bad,,0.71,7.1,0.21,0.72,1.6,0.167,65,120,0.99324,2.97,0.51,9.2
245,1:?,2:bad,,0.53,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9
246,1:?,2:bad,,0.53,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9
247,1:?,2:bad,,0.53,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9
248,1:?,2:bad,,0.53,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9
249,1:?,2:bad,,0.53,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9
