@relation data

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {#,##,###,####,#####,######,#######,########,#########,##########,###########,############,#############,##############,###############,################,#################,##################,###################,####################,#####################,######################,#######################,########################,#########################,##########################,###########################,############################,#############################,##############################,###############################,################################,#################################,##################################,###################################,####################################,#####################################,######################################,#######################################,########################################,#########################################,##########################################,###########################################,############################################,#############################################,##############################################,###############################################,################################################,#################################################,##################################################,###################################################,####################################################,#####################################################,######################################################,#######################################################,########################################################,#########################################################,##########################################################,###########################################################,############################################################,#############################################################,##############################################################,###############################################################,################################################################,#################################################################,##################################################################,###################################################################,####################################################################,#####################################################################,######################################################################,#######################################################################,########################################################################,#########################################################################,##########################################################################,###########################################################################,############################################################################,#############################################################################,##############################################################################,###############################################################################,################################################################################,#################################################################################,##################################################################################,###################################################################################,####################################################################################,#####################################################################################,######################################################################################,#######################################################################################,########################################################################################,#########################################################################################,##########################################################################################,###########################################################################################,############################################################################################,#############################################################################################,##############################################################################################,###############################################################################################,################################################################################################,#################################################################################################,##################################################################################################,###################################################################################################,####################################################################################################}

@data
8010,8000,8000,8000,8000,8000,8000,8000,8000,8000,########
8000,8010,8000,8000,8000,8000,8000,8000,8000,8000,########
8000,8000,8010,8000,8000,8000,8000,8000,8000,8000,########
8000,8000,8000,8010,8000,8000,8000,8000,8000,8000,########
8000,8000,8000,8000,8010,8000,8000,8000,8000,8000,########
8000,8000,8000,8000,8000,8010,8000,8000,8000,8000,########
8000,8000,8000,8000,8000,8000,8010,8000,8000,8000,########
8000,8000,8000,8000,8000,8000,8000,8010,8000,8000,########
8000,8000,8000,8000,8000,8000,8000,8000,8010,8000,########
8000,8000,8000,8000,8000,8000,8000,8000,8000,8010,########
9010,9000,9000,9000,9000,9000,9000,9000,9000,9000,#########
9000,9010,9000,9000,9000,9000,9000,9000,9000,9000,#########
9000,9000,9010,9000,9000,9000,9000,9000,9000,9000,#########
9000,9000,9000,9010,9000,9000,9000,9000,9000,9000,#########
9000,9000,9000,9000,9010,9000,9000,9000,9000,9000,#########
9000,9000,9000,9000,9000,9010,9000,9000,9000,9000,#########
9000,9000,9000,9000,9000,9000,9010,9000,9000,9000,#########
9000,9000,9000,9000,9000,9000,9000,9010,9000,9000,#########
9000,9000,9000,9000,9000,9000,9000,9000,9010,9000,#########
9000,9000,9000,9000,9000,9000,9000,9000,9000,9010,#########
10010,10000,10000,10000,10000,10000,10000,10000,10000,10000,##########
10000,10010,10000,10000,10000,10000,10000,10000,10000,10000,##########
10000,10000,10010,10000,10000,10000,10000,10000,10000,10000,##########
10000,10000,10000,10010,10000,10000,10000,10000,10000,10000,##########
10000,10000,10000,10000,10010,10000,10000,10000,10000,10000,##########
10000,10000,10000,10000,10000,10010,10000,10000,10000,10000,##########
10000,10000,10000,10000,10000,10000,10010,10000,10000,10000,##########
10000,10000,10000,10000,10000,10000,10000,10010,10000,10000,##########
10000,10000,10000,10000,10000,10000,10000,10000,10010,10000,##########
10000,10000,10000,10000,10000,10000,10000,10000,10000,10010,##########
11010,11000,11000,11000,11000,11000,11000,11000,11000,11000,###########
11000,11010,11000,11000,11000,11000,11000,11000,11000,11000,###########
11000,11000,11010,11000,11000,11000,11000,11000,11000,11000,###########
11000,11000,11000,11010,11000,11000,11000,11000,11000,11000,###########
11000,11000,11000,11000,11010,11000,11000,11000,11000,11000,###########
11000,11000,11000,11000,11000,11010,11000,11000,11000,11000,###########
11000,11000,11000,11000,11000,11000,11010,11000,11000,11000,###########
11000,11000,11000,11000,11000,11000,11000,11010,11000,11000,###########
11000,11000,11000,11000,11000,11000,11000,11000,11010,11000,###########
11000,11000,11000,11000,11000,11000,11000,11000,11000,11010,###########
12010,12000,12000,12000,12000,12000,12000,12000,12000,12000,############
12000,12010,12000,12000,12000,12000,12000,12000,12000,12000,############
12000,12000,12010,12000,12000,12000,12000,12000,12000,12000,############
12000,12000,12000,12010,12000,12000,12000,12000,12000,12000,############
12000,12000,12000,12000,12010,12000,12000,12000,12000,12000,############
12000,12000,12000,12000,12000,12010,12000,12000,12000,12000,############
12000,12000,12000,12000,12000,12000,12010,12000,12000,12000,############
12000,12000,12000,12000,12000,12000,12000,12010,12000,12000,############
12000,12000,12000,12000,12000,12000,12000,12000,12010,12000,############
12000,12000,12000,12000,12000,12000,12000,12000,12000,12010,############
13010,13000,13000,13000,13000,13000,13000,13000,13000,13000,#############
13000,13010,13000,13000,13000,13000,13000,13000,13000,13000,#############
13000,13000,13010,13000,13000,13000,13000,13000,13000,13000,#############
13000,13000,13000,13010,13000,13000,13000,13000,13000,13000,#############
13000,13000,13000,13000,13010,13000,13000,13000,13000,13000,#############
13000,13000,13000,13000,13000,13010,13000,13000,13000,13000,#############
13000,13000,13000,13000,13000,13000,13010,13000,13000,13000,#############
13000,13000,13000,13000,13000,13000,13000,13010,13000,13000,#############
13000,13000,13000,13000,13000,13000,13000,13000,13010,13000,#############
13000,13000,13000,13000,13000,13000,13000,13000,13000,13010,#############
14010,14000,14000,14000,14000,14000,14000,14000,14000,14000,##############
14000,14010,14000,14000,14000,14000,14000,14000,14000,14000,##############
14000,14000,14010,14000,14000,14000,14000,14000,14000,14000,##############
14000,14000,14000,14010,14000,14000,14000,14000,14000,14000,##############
14000,14000,14000,14000,14010,14000,14000,14000,14000,14000,##############
14000,14000,14000,14000,14000,14010,14000,14000,14000,14000,##############
14000,14000,14000,14000,14000,14000,14010,14000,14000,14000,##############
14000,14000,14000,14000,14000,14000,14000,14010,14000,14000,##############
14000,14000,14000,14000,14000,14000,14000,14000,14010,14000,##############
14000,14000,14000,14000,14000,14000,14000,14000,14000,14010,##############
15010,15000,15000,15000,15000,15000,15000,15000,15000,15000,###############
15000,15010,15000,15000,15000,15000,15000,15000,15000,15000,###############
15000,15000,15010,15000,15000,15000,15000,15000,15000,15000,###############
15000,15000,15000,15010,15000,15000,15000,15000,15000,15000,###############
15000,15000,15000,15000,15010,15000,15000,15000,15000,15000,###############
15000,15000,15000,15000,15000,15010,15000,15000,15000,15000,###############
15000,15000,15000,15000,15000,15000,15010,15000,15000,15000,###############
15000,15000,15000,15000,15000,15000,15000,15010,15000,15000,###############
15000,15000,15000,15000,15000,15000,15000,15000,15010,15000,###############
15000,15000,15000,15000,15000,15000,15000,15000,15000,15010,###############
16010,16000,16000,16000,16000,16000,16000,16000,16000,16000,################
16000,16010,16000,16000,16000,16000,16000,16000,16000,16000,################
16000,16000,16010,16000,16000,16000,16000,16000,16000,16000,################
16000,16000,16000,16010,16000,16000,16000,16000,16000,16000,################
16000,16000,16000,16000,16010,16000,16000,16000,16000,16000,################
16000,16000,16000,16000,16000,16010,16000,16000,16000,16000,################
16000,16000,16000,16000,16000,16000,16010,16000,16000,16000,################
16000,16000,16000,16000,16000,16000,16000,16010,16000,16000,################
16000,16000,16000,16000,16000,16000,16000,16000,16010,16000,################
16000,16000,16000,16000,16000,16000,16000,16000,16000,16010,################
17010,17000,17000,17000,17000,17000,17000,17000,17000,17000,#################
17000,17010,17000,17000,17000,17000,17000,17000,17000,17000,#################
17000,17000,17010,17000,17000,17000,17000,17000,17000,17000,#################
17000,17000,17000,17010,17000,17000,17000,17000,17000,17000,#################
17000,17000,17000,17000,17010,17000,17000,17000,17000,17000,#################
17000,17000,17000,17000,17000,17010,17000,17000,17000,17000,#################
17000,17000,17000,17000,17000,17000,17010,17000,17000,17000,#################
17000,17000,17000,17000,17000,17000,17000,17010,17000,17000,#################
17000,17000,17000,17000,17000,17000,17000,17000,17010,17000,#################
17000,17000,17000,17000,17000,17000,17000,17000,17000,17010,#################
18010,18000,18000,18000,18000,18000,18000,18000,18000,18000,##################
18000,18010,18000,18000,18000,18000,18000,18000,18000,18000,##################
18000,18000,18010,18000,18000,18000,18000,18000,18000,18000,##################
18000,18000,18000,18010,18000,18000,18000,18000,18000,18000,##################
18000,18000,18000,18000,18010,18000,18000,18000,18000,18000,##################
18000,18000,18000,18000,18000,18010,18000,18000,18000,18000,##################
18000,18000,18000,18000,18000,18000,18010,18000,18000,18000,##################
18000,18000,18000,18000,18000,18000,18000,18010,18000,18000,##################
18000,18000,18000,18000,18000,18000,18000,18000,18010,18000,##################
18000,18000,18000,18000,18000,18000,18000,18000,18000,18010,##################
19010,19000,19000,19000,19000,19000,19000,19000,19000,19000,###################
19000,19010,19000,19000,19000,19000,19000,19000,19000,19000,###################
19000,19000,19010,19000,19000,19000,19000,19000,19000,19000,###################
19000,19000,19000,19010,19000,19000,19000,19000,19000,19000,###################
19000,19000,19000,19000,19010,19000,19000,19000,19000,19000,###################
19000,19000,19000,19000,19000,19010,19000,19000,19000,19000,###################
19000,19000,19000,19000,19000,19000,19010,19000,19000,19000,###################
19000,19000,19000,19000,19000,19000,19000,19010,19000,19000,###################
19000,19000,19000,19000,19000,19000,19000,19000,19010,19000,###################
19000,19000,19000,19000,19000,19000,19000,19000,19000,19010,###################
20010,20000,20000,20000,20000,20000,20000,20000,20000,20000,####################
20000,20010,20000,20000,20000,20000,20000,20000,20000,20000,####################
20000,20000,20010,20000,20000,20000,20000,20000,20000,20000,####################
20000,20000,20000,20010,20000,20000,20000,20000,20000,20000,####################
20000,20000,20000,20000,20010,20000,20000,20000,20000,20000,####################
20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,####################
20000,20000,20000,20000,20000,20000,20010,20000,20000,20000,####################
20000,20000,20000,20000,20000,20000,20000,20010,20000,20000,####################
20000,20000,20000,20000,20000,20000,20000,20000,20010,20000,####################
20000,20000,20000,20000,20000,20000,20000,20000,20000,20010,####################
21010,21000,21000,21000,21000,21000,21000,21000,21000,21000,#####################
21000,21010,21000,21000,21000,21000,21000,21000,21000,21000,#####################
21000,21000,21010,21000,21000,21000,21000,21000,21000,21000,#####################
21000,21000,21000,21010,21000,21000,21000,21000,21000,21000,#####################
21000,21000,21000,21000,21010,21000,21000,21000,21000,21000,#####################
21000,21000,21000,21000,21000,21010,21000,21000,21000,21000,#####################
21000,21000,21000,21000,21000,21000,21010,21000,21000,21000,#####################
21000,21000,21000,21000,21000,21000,21000,21010,21000,21000,#####################
21000,21000,21000,21000,21000,21000,21000,21000,21010,21000,#####################
21000,21000,21000,21000,21000,21000,21000,21000,21000,21010,#####################
22010,22000,22000,22000,22000,22000,22000,22000,22000,22000,######################
22000,22010,22000,22000,22000,22000,22000,22000,22000,22000,######################
22000,22000,22010,22000,22000,22000,22000,22000,22000,22000,######################
22000,22000,22000,22010,22000,22000,22000,22000,22000,22000,######################
22000,22000,22000,22000,22010,22000,22000,22000,22000,22000,######################
22000,22000,22000,22000,22000,22010,22000,22000,22000,22000,######################
22000,22000,22000,22000,22000,22000,22010,22000,22000,22000,######################
22000,22000,22000,22000,22000,22000,22000,22010,22000,22000,######################
22000,22000,22000,22000,22000,22000,22000,22000,22010,22000,######################
22000,22000,22000,22000,22000,22000,22000,22000,22000,22010,######################
23010,23000,23000,23000,23000,23000,23000,23000,23000,23000,#######################
23000,23010,23000,23000,23000,23000,23000,23000,23000,23000,#######################
23000,23000,23010,23000,23000,23000,23000,23000,23000,23000,#######################
23000,23000,23000,23010,23000,23000,23000,23000,23000,23000,#######################
23000,23000,23000,23000,23010,23000,23000,23000,23000,23000,#######################
23000,23000,23000,23000,23000,23010,23000,23000,23000,23000,#######################
23000,23000,23000,23000,23000,23000,23010,23000,23000,23000,#######################
23000,23000,23000,23000,23000,23000,23000,23010,23000,23000,#######################
23000,23000,23000,23000,23000,23000,23000,23000,23010,23000,#######################
23000,23000,23000,23000,23000,23000,23000,23000,23000,23010,#######################
24010,24000,24000,24000,24000,24000,24000,24000,24000,24000,########################
24000,24010,24000,24000,24000,24000,24000,24000,24000,24000,########################
24000,24000,24010,24000,24000,24000,24000,24000,24000,24000,########################
24000,24000,24000,24010,24000,24000,24000,24000,24000,24000,########################
24000,24000,24000,24000,24010,24000,24000,24000,24000,24000,########################
24000,24000,24000,24000,24000,24010,24000,24000,24000,24000,########################
24000,24000,24000,24000,24000,24000,24010,24000,24000,24000,########################
24000,24000,24000,24000,24000,24000,24000,24010,24000,24000,########################
24000,24000,24000,24000,24000,24000,24000,24000,24010,24000,########################
24000,24000,24000,24000,24000,24000,24000,24000,24000,24010,########################
25010,25000,25000,25000,25000,25000,25000,25000,25000,25000,#########################
25000,25010,25000,25000,25000,25000,25000,25000,25000,25000,#########################
25000,25000,25010,25000,25000,25000,25000,25000,25000,25000,#########################
25000,25000,25000,25010,25000,25000,25000,25000,25000,25000,#########################
25000,25000,25000,25000,25010,25000,25000,25000,25000,25000,#########################
25000,25000,25000,25000,25000,25010,25000,25000,25000,25000,#########################
25000,25000,25000,25000,25000,25000,25010,25000,25000,25000,#########################
25000,25000,25000,25000,25000,25000,25000,25010,25000,25000,#########################
25000,25000,25000,25000,25000,25000,25000,25000,25010,25000,#########################
25000,25000,25000,25000,25000,25000,25000,25000,25000,25010,#########################
26010,26000,26000,26000,26000,26000,26000,26000,26000,26000,##########################
26000,26010,26000,26000,26000,26000,26000,26000,26000,26000,##########################
26000,26000,26010,26000,26000,26000,26000,26000,26000,26000,##########################
26000,26000,26000,26010,26000,26000,26000,26000,26000,26000,##########################
26000,26000,26000,26000,26010,26000,26000,26000,26000,26000,##########################
26000,26000,26000,26000,26000,26010,26000,26000,26000,26000,##########################
26000,26000,26000,26000,26000,26000,26010,26000,26000,26000,##########################
26000,26000,26000,26000,26000,26000,26000,26010,26000,26000,##########################
26000,26000,26000,26000,26000,26000,26000,26000,26010,26000,##########################
26000,26000,26000,26000,26000,26000,26000,26000,26000,26010,##########################
27010,27000,27000,27000,27000,27000,27000,27000,27000,27000,###########################
27000,27010,27000,27000,27000,27000,27000,27000,27000,27000,###########################
27000,27000,27010,27000,27000,27000,27000,27000,27000,27000,###########################
27000,27000,27000,27010,27000,27000,27000,27000,27000,27000,###########################
27000,27000,27000,27000,27010,27000,27000,27000,27000,27000,###########################
27000,27000,27000,27000,27000,27010,27000,27000,27000,27000,###########################
27000,27000,27000,27000,27000,27000,27010,27000,27000,27000,###########################
27000,27000,27000,27000,27000,27000,27000,27010,27000,27000,###########################
27000,27000,27000,27000,27000,27000,27000,27000,27010,27000,###########################
27000,27000,27000,27000,27000,27000,27000,27000,27000,27010,###########################
28010,28000,28000,28000,28000,28000,28000,28000,28000,28000,############################
28000,28010,28000,28000,28000,28000,28000,28000,28000,28000,############################
28000,28000,28010,28000,28000,28000,28000,28000,28000,28000,############################
28000,28000,28000,28010,28000,28000,28000,28000,28000,28000,############################
28000,28000,28000,28000,28010,28000,28000,28000,28000,28000,############################
28000,28000,28000,28000,28000,28010,28000,28000,28000,28000,############################
28000,28000,28000,28000,28000,28000,28010,28000,28000,28000,############################
28000,28000,28000,28000,28000,28000,28000,28010,28000,28000,############################
28000,28000,28000,28000,28000,28000,28000,28000,28010,28000,############################
28000,28000,28000,28000,28000,28000,28000,28000,28000,28010,############################
29010,29000,29000,29000,29000,29000,29000,29000,29000,29000,#############################
29000,29010,29000,29000,29000,29000,29000,29000,29000,29000,#############################
29000,29000,29010,29000,29000,29000,29000,29000,29000,29000,#############################
29000,29000,29000,29010,29000,29000,29000,29000,29000,29000,#############################
29000,29000,29000,29000,29010,29000,29000,29000,29000,29000,#############################
29000,29000,29000,29000,29000,29010,29000,29000,29000,29000,#############################
29000,29000,29000,29000,29000,29000,29010,29000,29000,29000,#############################
29000,29000,29000,29000,29000,29000,29000,29010,29000,29000,#############################
29000,29000,29000,29000,29000,29000,29000,29000,29010,29000,#############################
29000,29000,29000,29000,29000,29000,29000,29000,29000,29010,#############################
30010,30000,30000,30000,30000,30000,30000,30000,30000,30000,##############################
30000,30010,30000,30000,30000,30000,30000,30000,30000,30000,##############################
30000,30000,30010,30000,30000,30000,30000,30000,30000,30000,##############################
30000,30000,30000,30010,30000,30000,30000,30000,30000,30000,##############################
30000,30000,30000,30000,30010,30000,30000,30000,30000,30000,##############################
30000,30000,30000,30000,30000,30010,30000,30000,30000,30000,##############################
30000,30000,30000,30000,30000,30000,30010,30000,30000,30000,##############################
30000,30000,30000,30000,30000,30000,30000,30010,30000,30000,##############################
30000,30000,30000,30000,30000,30000,30000,30000,30010,30000,##############################
30000,30000,30000,30000,30000,30000,30000,30000,30000,30010,##############################
31010,31000,31000,31000,31000,31000,31000,31000,31000,31000,###############################
31000,31010,31000,31000,31000,31000,31000,31000,31000,31000,###############################
31000,31000,31010,31000,31000,31000,31000,31000,31000,31000,###############################
31000,31000,31000,31010,31000,31000,31000,31000,31000,31000,###############################
31000,31000,31000,31000,31010,31000,31000,31000,31000,31000,###############################
31000,31000,31000,31000,31000,31010,31000,31000,31000,31000,###############################
31000,31000,31000,31000,31000,31000,31010,31000,31000,31000,###############################
31000,31000,31000,31000,31000,31000,31000,31010,31000,31000,###############################
31000,31000,31000,31000,31000,31000,31000,31000,31010,31000,###############################
31000,31000,31000,31000,31000,31000,31000,31000,31000,31010,###############################
32010,32000,32000,32000,32000,32000,32000,32000,32000,32000,################################
32000,32010,32000,32000,32000,32000,32000,32000,32000,32000,################################
32000,32000,32010,32000,32000,32000,32000,32000,32000,32000,################################
32000,32000,32000,32010,32000,32000,32000,32000,32000,32000,################################
32000,32000,32000,32000,32010,32000,32000,32000,32000,32000,################################
32000,32000,32000,32000,32000,32010,32000,32000,32000,32000,################################
32000,32000,32000,32000,32000,32000,32010,32000,32000,32000,################################
32000,32000,32000,32000,32000,32000,32000,32010,32000,32000,################################
32000,32000,32000,32000,32000,32000,32000,32000,32010,32000,################################
32000,32000,32000,32000,32000,32000,32000,32000,32000,32010,################################
33010,33000,33000,33000,33000,33000,33000,33000,33000,33000,#################################
33000,33010,33000,33000,33000,33000,33000,33000,33000,33000,#################################
33000,33000,33010,33000,33000,33000,33000,33000,33000,33000,#################################
33000,33000,33000,33010,33000,33000,33000,33000,33000,33000,#################################
33000,33000,33000,33000,33010,33000,33000,33000,33000,33000,#################################
33000,33000,33000,33000,33000,33010,33000,33000,33000,33000,#################################
33000,33000,33000,33000,33000,33000,33010,33000,33000,33000,#################################
33000,33000,33000,33000,33000,33000,33000,33010,33000,33000,#################################
33000,33000,33000,33000,33000,33000,33000,33000,33010,33000,#################################
33000,33000,33000,33000,33000,33000,33000,33000,33000,33010,#################################
34010,34000,34000,34000,34000,34000,34000,34000,34000,34000,##################################
34000,34010,34000,34000,34000,34000,34000,34000,34000,34000,##################################
34000,34000,34010,34000,34000,34000,34000,34000,34000,34000,##################################
34000,34000,34000,34010,34000,34000,34000,34000,34000,34000,##################################
34000,34000,34000,34000,34010,34000,34000,34000,34000,34000,##################################
34000,34000,34000,34000,34000,34010,34000,34000,34000,34000,##################################
34000,34000,34000,34000,34000,34000,34010,34000,34000,34000,##################################
34000,34000,34000,34000,34000,34000,34000,34010,34000,34000,##################################
34000,34000,34000,34000,34000,34000,34000,34000,34010,34000,##################################
34000,34000,34000,34000,34000,34000,34000,34000,34000,34010,##################################
35010,35000,35000,35000,35000,35000,35000,35000,35000,35000,###################################
35000,35010,35000,35000,35000,35000,35000,35000,35000,35000,###################################
35000,35000,35010,35000,35000,35000,35000,35000,35000,35000,###################################
35000,35000,35000,35010,35000,35000,35000,35000,35000,35000,###################################
35000,35000,35000,35000,35010,35000,35000,35000,35000,35000,###################################
35000,35000,35000,35000,35000,35010,35000,35000,35000,35000,###################################
35000,35000,35000,35000,35000,35000,35010,35000,35000,35000,###################################
35000,35000,35000,35000,35000,35000,35000,35010,35000,35000,###################################
35000,35000,35000,35000,35000,35000,35000,35000,35010,35000,###################################
35000,35000,35000,35000,35000,35000,35000,35000,35000,35010,###################################
36010,36000,36000,36000,36000,36000,36000,36000,36000,36000,####################################
36000,36010,36000,36000,36000,36000,36000,36000,36000,36000,####################################
36000,36000,36010,36000,36000,36000,36000,36000,36000,36000,####################################
36000,36000,36000,36010,36000,36000,36000,36000,36000,36000,####################################
36000,36000,36000,36000,36010,36000,36000,36000,36000,36000,####################################
36000,36000,36000,36000,36000,36010,36000,36000,36000,36000,####################################
36000,36000,36000,36000,36000,36000,36010,36000,36000,36000,####################################
36000,36000,36000,36000,36000,36000,36000,36010,36000,36000,####################################
36000,36000,36000,36000,36000,36000,36000,36000,36010,36000,####################################
36000,36000,36000,36000,36000,36000,36000,36000,36000,36010,####################################
37010,37000,37000,37000,37000,37000,37000,37000,37000,37000,#####################################
37000,37010,37000,37000,37000,37000,37000,37000,37000,37000,#####################################
37000,37000,37010,37000,37000,37000,37000,37000,37000,37000,#####################################
37000,37000,37000,37010,37000,37000,37000,37000,37000,37000,#####################################
37000,37000,37000,37000,37010,37000,37000,37000,37000,37000,#####################################
37000,37000,37000,37000,37000,37010,37000,37000,37000,37000,#####################################
37000,37000,37000,37000,37000,37000,37010,37000,37000,37000,#####################################
37000,37000,37000,37000,37000,37000,37000,37010,37000,37000,#####################################
37000,37000,37000,37000,37000,37000,37000,37000,37010,37000,#####################################
37000,37000,37000,37000,37000,37000,37000,37000,37000,37010,#####################################
38010,38000,38000,38000,38000,38000,38000,38000,38000,38000,######################################
38000,38010,38000,38000,38000,38000,38000,38000,38000,38000,######################################
38000,38000,38010,38000,38000,38000,38000,38000,38000,38000,######################################
38000,38000,38000,38010,38000,38000,38000,38000,38000,38000,######################################
38000,38000,38000,38000,38010,38000,38000,38000,38000,38000,######################################
38000,38000,38000,38000,38000,38010,38000,38000,38000,38000,######################################
38000,38000,38000,38000,38000,38000,38010,38000,38000,38000,######################################
38000,38000,38000,38000,38000,38000,38000,38010,38000,38000,######################################
38000,38000,38000,38000,38000,38000,38000,38000,38010,38000,######################################
38000,38000,38000,38000,38000,38000,38000,38000,38000,38010,######################################
39010,39000,39000,39000,39000,39000,39000,39000,39000,39000,#######################################
39000,39010,39000,39000,39000,39000,39000,39000,39000,39000,#######################################
39000,39000,39010,39000,39000,39000,39000,39000,39000,39000,#######################################
