attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,class
3400,3400,3410,3400,3400,3400,3400,3400,3400,3400,##################################
3400,3400,3400,3410,3400,3400,3400,3400,3400,3400,##################################
3400,3400,3400,3400,3410,3400,3400,3400,3400,3400,##################################
3400,3400,3400,3400,3400,3410,3400,3400,3400,3400,##################################
3400,3400,3400,3400,3400,3400,3410,3400,3400,3400,##################################
3400,3400,3400,3400,3400,3400,3400,3410,3400,3400,##################################
3400,3400,3400,3400,3400,3400,3400,3400,3410,3400,##################################
3400,3400,3400,3400,3400,3400,3400,3400,3400,3410,##################################
3510,3500,3500,3500,3500,3500,3500,3500,3500,3500,###################################
3500,3510,3500,3500,3500,3500,3500,3500,3500,3500,###################################
3500,3500,3510,3500,3500,3500,3500,3500,3500,3500,###################################
3500,3500,3500,3510,3500,3500,3500,3500,3500,3500,###################################
3500,3500,3500,3500,3510,3500,3500,3500,3500,3500,###################################
3500,3500,3500,3500,3500,3510,3500,3500,3500,3500,###################################
3500,3500,3500,3500,3500,3500,3510,3500,3500,3500,###################################
3500,3500,3500,3500,3500,3500,3500,3510,3500,3500,###################################
3500,3500,3500,3500,3500,3500,3500,3500,3510,3500,###################################
3500,3500,3500,3500,3500,3500,3500,3500,3500,3510,###################################
3610,3600,3600,3600,3600,3600,3600,3600,3600,3600,####################################
3600,3610,3600,3600,3600,3600,3600,3600,3600,3600,####################################
3600,3600,3610,3600,3600,3600,3600,3600,3600,3600,####################################
3600,3600,3600,3610,3600,3600,3600,3600,3600,3600,####################################
3600,3600,3600,3600,3610,3600,3600,3600,3600,3600,####################################
3600,3600,3600,3600,3600,3610,3600,3600,3600,3600,####################################
3600,3600,3600,3600,3600,3600,3610,3600,3600,3600,####################################
3600,3600,3600,3600,3600,3600,3600,3610,3600,3600,####################################
3600,3600,3600,3600,3600,3600,3600,3600,3610,3600,####################################
3600,3600,3600,3600,3600,3600,3600,3600,3600,3610,####################################
3710,3700,3700,3700,3700,3700,3700,3700,3700,3700,#####################################
3700,3710,3700,3700,3700,3700,3700,3700,3700,3700,#####################################
3700,3700,3710,3700,3700,3700,3700,3700,3700,3700,#####################################
3700,3700,3700,3710,3700,3700,3700,3700,3700,3700,#####################################
3700,3700,3700,3700,3710,3700,3700,3700,3700,3700,#####################################
3700,3700,3700,3700,3700,3710,3700,3700,3700,3700,#####################################
3700,3700,3700,3700,3700,3700,3710,3700,3700,3700,#####################################
3700,3700,3700,3700,3700,3700,3700,3710,3700,3700,#####################################
3700,3700,3700,3700,3700,3700,3700,3700,3710,3700,#####################################
3700,3700,3700,3700,3700,3700,3700,3700,3700,3710,#####################################
3810,3800,3800,3800,3800,3800,3800,3800,3800,3800,######################################
3800,3810,3800,3800,3800,3800,3800,3800,3800,3800,######################################
3800,3800,3810,3800,3800,3800,3800,3800,3800,3800,######################################
3800,3800,3800,3810,3800,3800,3800,3800,3800,3800,######################################
3800,3800,3800,3800,3810,3800,3800,3800,3800,3800,######################################
3800,3800,3800,3800,3800,3810,3800,3800,3800,3800,######################################
3800,3800,3800,3800,3800,3800,3810,3800,3800,3800,######################################
3800,3800,3800,3800,3800,3800,3800,3810,3800,3800,######################################
3800,3800,3800,3800,3800,3800,3800,3800,3810,3800,######################################
3800,3800,3800,3800,3800,3800,3800,3800,3800,3810,######################################
3910,3900,3900,3900,3900,3900,3900,3900,3900,3900,#######################################
3900,3910,3900,3900,3900,3900,3900,3900,3900,3900,#######################################
3900,3900,3910,3900,3900,3900,3900,3900,3900,3900,#######################################
3900,3900,3900,3910,3900,3900,3900,3900,3900,3900,#######################################
3900,3900,3900,3900,3910,3900,3900,3900,3900,3900,#######################################
3900,3900,3900,3900,3900,3910,3900,3900,3900,3900,#######################################
3900,3900,3900,3900,3900,3900,3910,3900,3900,3900,#######################################
3900,3900,3900,3900,3900,3900,3900,3910,3900,3900,#######################################
3900,3900,3900,3900,3900,3900,3900,3900,3910,3900,#######################################
3900,3900,3900,3900,3900,3900,3900,3900,3900,3910,#######################################
4010,4000,4000,4000,4000,4000,4000,4000,4000,4000,########################################
4000,4010,4000,4000,4000,4000,4000,4000,4000,4000,########################################
4000,4000,4010,4000,4000,4000,4000,4000,4000,4000,########################################
4000,4000,4000,4010,4000,4000,4000,4000,4000,4000,########################################
4000,4000,4000,4000,4010,4000,4000,4000,4000,4000,########################################
4000,4000,4000,4000,4000,4010,4000,4000,4000,4000,########################################
4000,4000,4000,4000,4000,4000,4010,4000,4000,4000,########################################
4000,4000,4000,4000,4000,4000,4000,4010,4000,4000,########################################
4000,4000,4000,4000,4000,4000,4000,4000,4010,4000,########################################
4000,4000,4000,4000,4000,4000,4000,4000,4000,4010,########################################
4110,4100,4100,4100,4100,4100,4100,4100,4100,4100,#########################################
4100,4110,4100,4100,4100,4100,4100,4100,4100,4100,#########################################
4100,4100,4110,4100,4100,4100,4100,4100,4100,4100,#########################################
4100,4100,4100,4110,4100,4100,4100,4100,4100,4100,#########################################
4100,4100,4100,4100,4110,4100,4100,4100,4100,4100,#########################################
4100,4100,4100,4100,4100,4110,4100,4100,4100,4100,#########################################
4100,4100,4100,4100,4100,4100,4110,4100,4100,4100,#########################################
4100,4100,4100,4100,4100,4100,4100,4110,4100,4100,#########################################
4100,4100,4100,4100,4100,4100,4100,4100,4110,4100,#########################################
4100,4100,4100,4100,4100,4100,4100,4100,4100,4110,#########################################
4210,4200,4200,4200,4200,4200,4200,4200,4200,4200,##########################################
4200,4210,4200,4200,4200,4200,4200,4200,4200,4200,##########################################
4200,4200,4210,4200,4200,4200,4200,4200,4200,4200,##########################################
4200,4200,4200,4210,4200,4200,4200,4200,4200,4200,##########################################
4200,4200,4200,4200,4210,4200,4200,4200,4200,4200,##########################################
4200,4200,4200,4200,4200,4210,4200,4200,4200,4200,##########################################
4200,4200,4200,4200,4200,4200,4210,4200,4200,4200,##########################################
4200,4200,4200,4200,4200,4200,4200,4210,4200,4200,##########################################
4200,4200,4200,4200,4200,4200,4200,4200,4210,4200,##########################################
4200,4200,4200,4200,4200,4200,4200,4200,4200,4210,##########################################
4310,4300,4300,4300,4300,4300,4300,4300,4300,4300,###########################################
4300,4310,4300,4300,4300,4300,4300,4300,4300,4300,###########################################
4300,4300,4310,4300,4300,4300,4300,4300,4300,4300,###########################################
4300,4300,4300,4310,4300,4300,4300,4300,4300,4300,###########################################
4300,4300,4300,4300,4310,4300,4300,4300,4300,4300,###########################################
4300,4300,4300,4300,4300,4310,4300,4300,4300,4300,###########################################
4300,4300,4300,4300,4300,4300,4310,4300,4300,4300,###########################################
4300,4300,4300,4300,4300,4300,4300,4310,4300,4300,###########################################
4300,4300,4300,4300,4300,4300,4300,4300,4310,4300,###########################################
4300,4300,4300,4300,4300,4300,4300,4300,4300,4310,###########################################
4410,4400,4400,4400,4400,4400,4400,4400,4400,4400,############################################
4400,4410,4400,4400,4400,4400,4400,4400,4400,4400,############################################
4400,4400,4410,4400,4400,4400,4400,4400,4400,4400,############################################
4400,4400,4400,4410,4400,4400,4400,4400,4400,4400,############################################
4400,4400,4400,4400,4410,4400,4400,4400,4400,4400,############################################
4400,4400,4400,4400,4400,4410,4400,4400,4400,4400,############################################
4400,4400,4400,4400,4400,4400,4410,4400,4400,4400,############################################
4400,4400,4400,4400,4400,4400,4400,4410,4400,4400,############################################
4400,4400,4400,4400,4400,4400,4400,4400,4410,4400,############################################
4400,4400,4400,4400,4400,4400,4400,4400,4400,4410,############################################
4510,4500,4500,4500,4500,4500,4500,4500,4500,4500,#############################################
4500,4510,4500,4500,4500,4500,4500,4500,4500,4500,#############################################
4500,4500,4510,4500,4500,4500,4500,4500,4500,4500,#############################################
